"","Order","Genus","Species","Binomial","AdultBodyMass_g","DietBreadth","HabitatBreadth","HomeRange_km2"
"1","Rodentia","Abditomys","latidens","Abditomys latidens",268.09,NA,NA,NA
"2","Rodentia","Abeomelomys","sevia","Abeomelomys sevia",54.88,NA,2,NA
"3","Rodentia","Abrawayaomys","ruschii","Abrawayaomys ruschii",62.99,NA,NA,NA
"4","Rodentia","Abrocoma","bennettii","Abrocoma bennettii",250.5,NA,3,NA
"5","Rodentia","Abrocoma","boliviensis","Abrocoma boliviensis",158,NA,NA,NA
"6","Rodentia","Abrocoma","budini","Abrocoma budini",NA,NA,NA,NA
"7","Rodentia","Abrocoma","cinerea","Abrocoma cinerea",193.64,NA,3,NA
"8","Rodentia","Abrocoma","famatina","Abrocoma famatina",NA,NA,NA,NA
"9","Rodentia","Abrocoma","shistacea","Abrocoma shistacea",NA,NA,NA,NA
"10","Rodentia","Abrocoma","uspallata","Abrocoma uspallata",NA,NA,NA,NA
"11","Rodentia","Abrocoma","vaccarum","Abrocoma vaccarum",NA,NA,NA,NA
"12","Rodentia","Abrothrix","andinus","Abrothrix andinus",24.91,NA,2,NA
"13","Rodentia","Abrothrix","hershkovitzi","Abrothrix hershkovitzi",NA,NA,NA,NA
"14","Rodentia","Abrothrix","illuteus","Abrothrix illuteus",47.79,NA,NA,NA
"15","Rodentia","Abrothrix","jelskii","Abrothrix jelskii",34.5,3,1,NA
"16","Rodentia","Abrothrix","lanosus","Abrothrix lanosus",27.83,NA,NA,NA
"17","Rodentia","Abrothrix","longipilis","Abrothrix longipilis",38.86,7,3,NA
"18","Rodentia","Abrothrix","markhami","Abrothrix markhami",NA,NA,NA,NA
"19","Rodentia","Abrothrix","olivaceus","Abrothrix olivaceus",24.52,7,3,0.000448137
"20","Rodentia","Abrothrix","sanborni","Abrothrix sanborni",24.7,6,NA,NA
"21","Rodentia","Acomys","cahirinus","Acomys cahirinus",41.16,NA,NA,0.000880412
"22","Rodentia","Acomys","chudeaui","Acomys chudeaui",NA,NA,NA,NA
"23","Rodentia","Acomys","cilicicus","Acomys cilicicus",NA,NA,NA,NA
"24","Rodentia","Acomys","cineraceus","Acomys cineraceus",NA,NA,NA,NA
"25","Rodentia","Acomys","dimidiatus","Acomys dimidiatus",NA,NA,NA,NA
"26","Rodentia","Acomys","ignitus","Acomys ignitus",NA,NA,NA,NA
"27","Rodentia","Acomys","johannis","Acomys johannis",NA,NA,NA,NA
"28","Rodentia","Acomys","kempi","Acomys kempi",21.99,NA,NA,NA
"29","Rodentia","Acomys","louisae","Acomys louisae",20.19,NA,NA,NA
"30","Rodentia","Acomys","minous","Acomys minous",62.5,NA,NA,NA
"31","Rodentia","Acomys","mullah","Acomys mullah",NA,NA,NA,NA
"32","Rodentia","Acomys","nesiotes","Acomys nesiotes",NA,NA,NA,NA
"33","Rodentia","Acomys","percivali","Acomys percivali",21.99,NA,NA,NA
"34","Rodentia","Acomys","russatus","Acomys russatus",42.35,NA,NA,0.000488186
"35","Rodentia","Acomys","seurati","Acomys seurati",NA,NA,NA,NA
"36","Rodentia","Acomys","spinosissimus","Acomys spinosissimus",26.5,NA,NA,NA
"37","Rodentia","Acomys","subspinosus","Acomys subspinosus",21.92,NA,NA,NA
"38","Rodentia","Acomys","wilsoni","Acomys wilsoni",18.5,NA,NA,NA
"39","Rodentia","Acomys","airensis","Acomys airensis",NA,NA,NA,NA
"40","Rodentia","Aconaemys","fuscus","Aconaemys fuscus",129.95,2,2,NA
"41","Rodentia","Aconaemys","porteri","Aconaemys porteri",NA,NA,NA,NA
"42","Rodentia","Aconaemys","sagei","Aconaemys sagei",96.49,NA,2,NA
"43","Rodentia","Aepeomys","lugens","Aepeomys lugens",37,NA,1,NA
"44","Rodentia","Aepeomys","reigi","Aepeomys reigi",NA,NA,NA,NA
"45","Rodentia","Aeretes","melanopterus","Aeretes melanopterus",NA,NA,NA,NA
"46","Rodentia","Aeromys","tephromelas","Aeromys tephromelas",1187,NA,NA,NA
"47","Rodentia","Aeromys","thomasi","Aeromys thomasi",1430.19,NA,NA,NA
"48","Rodentia","Aethomys","bocagei","Aethomys bocagei",NA,NA,NA,NA
"49","Rodentia","Aethomys","chrysophilus","Aethomys chrysophilus",80.85,NA,NA,NA
"50","Rodentia","Aethomys","hindei","Aethomys hindei",140.65,NA,NA,0.000609998
"51","Rodentia","Aethomys","ineptus","Aethomys ineptus",133.16,NA,NA,NA
"52","Rodentia","Aethomys","kaiseri","Aethomys kaiseri",89.99,NA,NA,NA
"53","Rodentia","Aethomys","nyikae","Aethomys nyikae",NA,NA,NA,NA
"54","Rodentia","Aethomys","silindensis","Aethomys silindensis",NA,NA,NA,NA
"55","Rodentia","Aethomys","stannarius","Aethomys stannarius",NA,NA,NA,NA
"56","Rodentia","Aethomys","thomasi","Aethomys thomasi",NA,NA,NA,NA
"57","Rodentia","Akodon","aerosus","Akodon aerosus",59.99,NA,NA,NA
"58","Rodentia","Akodon","affinis","Akodon affinis",24.89,4,1,NA
"59","Rodentia","Akodon","albiventer","Akodon albiventer",25.95,1,1,NA
"60","Rodentia","Akodon","aliquantulus","Akodon aliquantulus",NA,NA,NA,NA
"61","Rodentia","Akodon","azarae","Akodon azarae",25.27,4,2,NA
"62","Rodentia","Akodon","bogotensis","Akodon bogotensis",12.99,NA,NA,NA
"63","Rodentia","Akodon","boliviensis","Akodon boliviensis",27.5,3,1,NA
"64","Rodentia","Akodon","budini","Akodon budini",26.9,NA,NA,NA
"65","Rodentia","Akodon","cursor","Akodon cursor",39.84,4,1,NA
"66","Rodentia","Akodon","dayi","Akodon dayi",32.49,NA,NA,NA
"67","Rodentia","Akodon","dolores","Akodon dolores",50.49,NA,NA,NA
"68","Rodentia","Akodon","fumeus","Akodon fumeus",22.69,NA,NA,NA
"69","Rodentia","Akodon","iniscatus","Akodon iniscatus",28.7,NA,NA,NA
"70","Rodentia","Akodon","juninensis","Akodon juninensis",38.99,NA,NA,NA
"71","Rodentia","Akodon","kofordi","Akodon kofordi",29.49,NA,NA,NA
"72","Rodentia","Akodon","latebricola","Akodon latebricola",38.99,NA,NA,NA
"73","Rodentia","Akodon","leucolimnaeus","Akodon leucolimnaeus",NA,NA,NA,NA
"74","Rodentia","Akodon","lindberghi","Akodon lindberghi",26.4,NA,NA,NA
"75","Rodentia","Akodon","lutescens","Akodon lutescens",20.69,NA,NA,NA
"76","Rodentia","Akodon","mimus","Akodon mimus",23.99,NA,NA,NA
"77","Rodentia","Akodon","molinae","Akodon molinae",32.99,NA,1,NA
"78","Rodentia","Akodon","mollis","Akodon mollis",30.39,NA,NA,NA
"79","Rodentia","Akodon","montensis","Akodon montensis",NA,NA,NA,NA
"80","Rodentia","Akodon","mystax","Akodon mystax",NA,NA,NA,NA
"81","Rodentia","Akodon","neocenus","Akodon neocenus",42.39,NA,NA,NA
"82","Rodentia","Akodon","oenos","Akodon oenos",NA,NA,NA,NA
"83","Rodentia","Akodon","orophilus","Akodon orophilus",38.99,NA,NA,NA
"84","Rodentia","Akodon","paranaensis","Akodon paranaensis",NA,NA,NA,NA
"85","Rodentia","Akodon","pervalens","Akodon pervalens",NA,NA,NA,NA
"86","Rodentia","Akodon","reigi","Akodon reigi",NA,NA,NA,NA
"87","Rodentia","Akodon","sanctipaulensis","Akodon sanctipaulensis",27.1,NA,NA,NA
"88","Rodentia","Akodon","serrensis","Akodon serrensis",28.3,NA,NA,NA
"89","Rodentia","Akodon","siberiae","Akodon siberiae",34.6,NA,NA,NA
"90","Rodentia","Akodon","simulator","Akodon simulator",42.5,NA,NA,NA
"91","Rodentia","Akodon","spegazzinii","Akodon spegazzinii",28.6,NA,NA,NA
"92","Rodentia","Akodon","subfuscus","Akodon subfuscus",30.39,NA,NA,NA
"93","Rodentia","Akodon","surdus","Akodon surdus",38.99,NA,NA,NA
"94","Rodentia","Akodon","sylvanus","Akodon sylvanus",38.99,NA,NA,NA
"95","Rodentia","Akodon","toba","Akodon toba",51.2,NA,NA,NA
"96","Rodentia","Akodon","torques","Akodon torques",38.99,NA,NA,NA
"97","Rodentia","Akodon","varius","Akodon varius",40,1,2,NA
"98","Rodentia","Allactaga","balikunica","Allactaga balikunica",NA,NA,NA,NA
"99","Rodentia","Allactaga","bullata","Allactaga bullata",NA,NA,NA,NA
"100","Rodentia","Allactaga","elater","Allactaga elater",59,NA,NA,NA
"101","Rodentia","Allactaga","euphratica","Allactaga euphratica",232,NA,NA,NA
"102","Rodentia","Allactaga","firouzi","Allactaga firouzi",NA,NA,NA,NA
"103","Rodentia","Allactaga","hotsoni","Allactaga hotsoni",NA,NA,NA,NA
"104","Rodentia","Allactaga","major","Allactaga major",NA,NA,NA,NA
"105","Rodentia","Allactaga","severtzovi","Allactaga severtzovi",NA,NA,NA,NA
"106","Rodentia","Allactaga","sibirica","Allactaga sibirica",NA,NA,NA,NA
"107","Rodentia","Allactaga","tetradactyla","Allactaga tetradactyla",52,NA,NA,NA
"108","Rodentia","Allactaga","vinogradovi","Allactaga vinogradovi",NA,NA,NA,NA
"109","Rodentia","Allactaga","williamsi","Allactaga williamsi",NA,NA,NA,NA
"110","Rodentia","Allactodipus","bobrinskii","Allactodipus bobrinskii",NA,NA,NA,NA
"111","Rodentia","Allocricetulus","curtatus","Allocricetulus curtatus",NA,NA,NA,NA
"112","Rodentia","Allocricetulus","eversmanni","Allocricetulus eversmanni",NA,NA,NA,NA
"113","Rodentia","Alticola","albicaudus","Alticola albicaudus",NA,NA,NA,NA
"114","Rodentia","Alticola","argentatus","Alticola argentatus",37.69,2,NA,NA
"115","Rodentia","Alticola","barakshin","Alticola barakshin",NA,NA,NA,NA
"116","Rodentia","Alticola","lemminus","Alticola lemminus",NA,NA,NA,NA
"117","Rodentia","Alticola","macrotis","Alticola macrotis",NA,NA,NA,NA
"118","Rodentia","Alticola","montosa","Alticola montosa",NA,NA,NA,NA
"119","Rodentia","Alticola","olchonensis","Alticola olchonensis",NA,NA,NA,NA
"120","Rodentia","Alticola","roylei","Alticola roylei",37,NA,NA,NA
"121","Rodentia","Alticola","semicanus","Alticola semicanus",NA,NA,NA,NA
"122","Rodentia","Alticola","stoliczkanus","Alticola stoliczkanus",30.14,NA,1,NA
"123","Rodentia","Alticola","strelzowi","Alticola strelzowi",49.99,NA,1,NA
"124","Rodentia","Alticola","tuvinicus","Alticola tuvinicus",NA,NA,NA,NA
"125","Rodentia","Amblyrhiza","inundata","Amblyrhiza inundata",NA,NA,NA,NA
"126","Rodentia","Ammodillus","imbellis","Ammodillus imbellis",49.99,NA,NA,NA
"127","Rodentia","Ammospermophilus","harrisii","Ammospermophilus harrisii",126.57,4,NA,NA
"128","Rodentia","Ammospermophilus","insularis","Ammospermophilus insularis",NA,NA,NA,NA
"129","Rodentia","Ammospermophilus","interpres","Ammospermophilus interpres",112.53,4,2,NA
"130","Rodentia","Ammospermophilus","leucurus","Ammospermophilus leucurus",103.92,5,2,0.04
"131","Rodentia","Ammospermophilus","nelsoni","Ammospermophilus nelsoni",160.42,5,2,0.03
"132","Rodentia","Amphinectomys","savamis","Amphinectomys savamis",NA,NA,NA,NA
"133","Rodentia","Andalgalomys","olrogi","Andalgalomys olrogi",32.9,NA,1,NA
"134","Rodentia","Andalgalomys","pearsoni","Andalgalomys pearsoni",25.4,NA,1,NA
"135","Rodentia","Andalgalomys","roigi","Andalgalomys roigi",NA,NA,NA,NA
"136","Rodentia","Andinomys","edax","Andinomys edax",69.75,NA,1,NA
"137","Rodentia","Anisomys","imitator","Anisomys imitator",510.5,3,2,NA
"138","Rodentia","Anomalurus","beecrofti","Anomalurus beecrofti",479.07,NA,1,NA
"139","Rodentia","Anomalurus","derbianus","Anomalurus derbianus",665.84,1,1,0.04
"140","Rodentia","Anomalurus","pelii","Anomalurus pelii",1769.99,NA,NA,NA
"141","Rodentia","Anomalurus","pusillus","Anomalurus pusillus",250,NA,1,NA
"142","Rodentia","Anonymomys","mindorensis","Anonymomys mindorensis",NA,NA,NA,NA
"143","Rodentia","Anotomys","leander","Anotomys leander",66.39,NA,1,NA
"144","Rodentia","Aplodontia","rufa","Aplodontia rufa",806.21,2,1,0.001352133
"145","Rodentia","Apodemus","agrarius","Apodemus agrarius",21.11,NA,NA,NA
"146","Rodentia","Apodemus","alpicola","Apodemus alpicola",NA,NA,NA,NA
"147","Rodentia","Apodemus","argenteus","Apodemus argenteus",NA,NA,NA,NA
"148","Rodentia","Apodemus","chevrieri","Apodemus chevrieri",NA,NA,NA,NA
"149","Rodentia","Apodemus","draco","Apodemus draco",NA,NA,NA,NA
"150","Rodentia","Apodemus","epimelas","Apodemus epimelas",NA,NA,NA,NA
"151","Rodentia","Apodemus","flavicollis","Apodemus flavicollis",31.6,NA,NA,0.001253831
"152","Rodentia","Apodemus","gurkha","Apodemus gurkha",NA,NA,NA,NA
"153","Rodentia","Apodemus","hyrcanicus","Apodemus hyrcanicus",NA,NA,NA,NA
"154","Rodentia","Apodemus","latronum","Apodemus latronum",NA,NA,NA,NA
"155","Rodentia","Apodemus","mystacinus","Apodemus mystacinus",43.84,NA,NA,NA
"156","Rodentia","Apodemus","pallipes","Apodemus pallipes",NA,NA,NA,NA
"157","Rodentia","Apodemus","peninsulae","Apodemus peninsulae",NA,NA,NA,NA
"158","Rodentia","Apodemus","ponticus","Apodemus ponticus",NA,NA,NA,NA
"159","Rodentia","Apodemus","rusiges","Apodemus rusiges",NA,NA,NA,NA
"160","Rodentia","Apodemus","semotus","Apodemus semotus",25.77,NA,NA,NA
"161","Rodentia","Apodemus","speciosus","Apodemus speciosus",43.75,NA,NA,NA
"162","Rodentia","Apodemus","sylvaticus","Apodemus sylvaticus",21.9,4,2,0.007114139
"163","Rodentia","Apodemus","uralensis","Apodemus uralensis",18.26,NA,NA,NA
"164","Rodentia","Apodemus","witherbyi","Apodemus witherbyi",20.66,NA,NA,NA
"165","Rodentia","Apomys","abrae","Apomys abrae",34.88,NA,2,NA
"166","Rodentia","Apomys","datae","Apomys datae",34.88,NA,2,NA
"167","Rodentia","Apomys","gracilirostris","Apomys gracilirostris",NA,NA,NA,NA
"168","Rodentia","Apomys","hylocetes","Apomys hylocetes",34.88,NA,2,NA
"169","Rodentia","Apomys","insignis","Apomys insignis",34.88,NA,2,NA
"170","Rodentia","Apomys","littoralis","Apomys littoralis",30.95,NA,2,NA
"171","Rodentia","Apomys","microdon","Apomys microdon",34.98,4,2,NA
"172","Rodentia","Apomys","musculus","Apomys musculus",21.2,4,2,0.002683942
"173","Rodentia","Apomys","sacobianus","Apomys sacobianus",34.88,NA,2,NA
"174","Rodentia","Arborimus","albipes","Arborimus albipes",23,3,2,NA
"175","Rodentia","Arborimus","longicaudus","Arborimus longicaudus",22.39,1,2,NA
"176","Rodentia","Arborimus","pomo","Arborimus pomo",32.49,1,2,NA
"177","Rodentia","Archboldomys","luzonensis","Archboldomys luzonensis",35.34,1,NA,NA
"178","Rodentia","Archboldomys","musseri","Archboldomys musseri",NA,NA,NA,NA
"179","Rodentia","Arvicanthis","abyssinicus","Arvicanthis abyssinicus",73.34,NA,NA,NA
"180","Rodentia","Arvicanthis","ansorgei","Arvicanthis ansorgei",NA,NA,NA,NA
"181","Rodentia","Arvicanthis","blicki","Arvicanthis blicki",128,NA,NA,NA
"182","Rodentia","Arvicanthis","nairobae","Arvicanthis nairobae",NA,NA,NA,NA
"183","Rodentia","Arvicanthis","neumanni","Arvicanthis neumanni",NA,NA,NA,NA
