"","Order","Genus","Species","Binomial","AdultBodyMass_g","DietBreadth","HabitatBreadth","HomeRange_km2"
"184","Rodentia","Arvicanthis","niloticus","Arvicanthis niloticus",95.8,NA,NA,NA
"185","Rodentia","Arvicanthis","rufinus","Arvicanthis rufinus",NA,NA,NA,NA
"186","Rodentia","Arvicola","amphibius","Arvicola amphibius",120,NA,NA,NA
"187","Rodentia","Arvicola","sapidus","Arvicola sapidus",219.99,NA,NA,NA
"188","Rodentia","Arvicola","scherman","Arvicola scherman",NA,NA,NA,NA
"189","Rodentia","Atherurus","africanus","Atherurus africanus",2875.65,5,2,0.12
"190","Rodentia","Atherurus","macrourus","Atherurus macrourus",2000,5,2,NA
"191","Rodentia","Atlantoxerus","getulus","Atlantoxerus getulus",250.57,NA,NA,NA
"192","Rodentia","Auliscomys","boliviensis","Auliscomys boliviensis",70.91,NA,1,NA
"193","Rodentia","Auliscomys","pictus","Auliscomys pictus",48.97,NA,NA,NA
"194","Rodentia","Auliscomys","sublimis","Auliscomys sublimis",38,NA,1,NA
"195","Rodentia","Baiomys","musculus","Baiomys musculus",8.99,4,2,NA
"196","Rodentia","Baiomys","taylori","Baiomys taylori",7.43,4,NA,0.000384598
"197","Rodentia","Bandicota","bengalensis","Bandicota bengalensis",226.99,NA,NA,NA
"198","Rodentia","Bandicota","indica","Bandicota indica",583.09,NA,NA,NA
"199","Rodentia","Bandicota","savilei","Bandicota savilei",260.63,NA,NA,NA
"200","Rodentia","Bathyergus","janetta","Bathyergus janetta",388.69,4,1,NA
"201","Rodentia","Bathyergus","suillus","Bathyergus suillus",777.38,3,2,0.002096145
"202","Rodentia","Batomys","dentatus","Batomys dentatus",NA,NA,NA,NA
"203","Rodentia","Batomys","granti","Batomys granti",169.53,NA,NA,0.001546275
"204","Rodentia","Batomys","russatus","Batomys russatus",NA,NA,NA,NA
"205","Rodentia","Batomys","salomonseni","Batomys salomonseni",185.76,NA,NA,NA
"206","Rodentia","Beamys","hindei","Beamys hindei",75.8,NA,NA,NA
"207","Rodentia","Beamys","major","Beamys major",NA,NA,NA,NA
"208","Rodentia","Belomys","pearsonii","Belomys pearsonii",NA,NA,NA,NA
"209","Rodentia","Berylmys","berdmorei","Berylmys berdmorei",NA,NA,NA,NA
"210","Rodentia","Berylmys","bowersi","Berylmys bowersi",358.68,NA,NA,NA
"211","Rodentia","Berylmys","mackenziei","Berylmys mackenziei",NA,NA,NA,NA
"212","Rodentia","Berylmys","manipulus","Berylmys manipulus",NA,NA,NA,NA
"213","Rodentia","Bibimys","torresi","Bibimys torresi",28,NA,NA,NA
"214","Rodentia","Bibimys","chacoensis","Bibimys chacoensis",28,NA,NA,NA
"215","Rodentia","Bibimys","labiosus","Bibimys labiosus",NA,NA,NA,NA
"216","Rodentia","Biswamoyopterus","biswasi","Biswamoyopterus biswasi",NA,NA,NA,NA
"217","Rodentia","Blanfordimys","afghanus","Blanfordimys afghanus",NA,NA,NA,NA
"218","Rodentia","Blanfordimys","bucharensis","Blanfordimys bucharensis",NA,NA,NA,NA
"219","Rodentia","Blarinomys","breviceps","Blarinomys breviceps",36.79,1,2,NA
"220","Rodentia","Boromys","offella","Boromys offella",NA,NA,NA,NA
"221","Rodentia","Boromys","torrei","Boromys torrei",NA,NA,NA,NA
"222","Rodentia","Brachiones","przewalskii","Brachiones przewalskii",NA,NA,NA,NA
"223","Rodentia","Brachytarsomys","albicauda","Brachytarsomys albicauda",200,2,1,NA
"224","Rodentia","Brachytarsomys","villosa","Brachytarsomys villosa",219.99,NA,NA,NA
"225","Rodentia","Brachyuromys","betsileoensis","Brachyuromys betsileoensis",93.58,NA,1,NA
"226","Rodentia","Brachyuromys","ramirohitra","Brachyuromys ramirohitra",92.31,NA,1,NA
"227","Rodentia","Brotomys","contractus","Brotomys contractus",NA,NA,NA,NA
"228","Rodentia","Brotomys","voratus","Brotomys voratus",NA,NA,NA,NA
"229","Rodentia","Brucepattersonius","albinasus","Brucepattersonius albinasus",NA,NA,NA,NA
"230","Rodentia","Brucepattersonius","griserufescens","Brucepattersonius griserufescens",NA,NA,NA,NA
"231","Rodentia","Brucepattersonius","guarani","Brucepattersonius guarani",NA,NA,NA,NA
"232","Rodentia","Brucepattersonius","igniventris","Brucepattersonius igniventris",NA,NA,NA,NA
"233","Rodentia","Brucepattersonius","iheringi","Brucepattersonius iheringi",43,1,NA,NA
"234","Rodentia","Brucepattersonius","misionensis","Brucepattersonius misionensis",NA,NA,NA,NA
"235","Rodentia","Brucepattersonius","paradisus","Brucepattersonius paradisus",NA,NA,NA,NA
"236","Rodentia","Brucepattersonius","soricinus","Brucepattersonius soricinus",NA,NA,NA,NA
"237","Rodentia","Bullimus","bagobus","Bullimus bagobus",395.38,NA,NA,NA
"238","Rodentia","Bullimus","gamay","Bullimus gamay",NA,NA,NA,NA
"239","Rodentia","Bullimus","luzonicus","Bullimus luzonicus",NA,NA,NA,NA
"240","Rodentia","Bunomys","andrewsi","Bunomys andrewsi",NA,NA,NA,NA
"241","Rodentia","Bunomys","chrysocomus","Bunomys chrysocomus",111.29,NA,NA,NA
"242","Rodentia","Bunomys","coelestis","Bunomys coelestis",NA,NA,NA,NA
"243","Rodentia","Bunomys","fratrorum","Bunomys fratrorum",130.31,NA,NA,NA
"244","Rodentia","Bunomys","penitus","Bunomys penitus",NA,NA,NA,NA
"245","Rodentia","Bunomys","prolatus","Bunomys prolatus",NA,NA,NA,NA
"246","Rodentia","Callistomys","pictus","Callistomys pictus",518.99,NA,NA,NA
"247","Rodentia","Callosciurus","adamsi","Callosciurus adamsi",208.72,6,1,NA
"248","Rodentia","Callosciurus","albescens","Callosciurus albescens",NA,NA,NA,NA
"249","Rodentia","Callosciurus","baluensis","Callosciurus baluensis",323.91,6,1,NA
"250","Rodentia","Callosciurus","caniceps","Callosciurus caniceps",264.91,NA,1,0.01
"251","Rodentia","Callosciurus","erythraeus","Callosciurus erythraeus",283.23,3,1,0.008950755
"252","Rodentia","Callosciurus","finlaysonii","Callosciurus finlaysonii",NA,NA,1,NA
"253","Rodentia","Callosciurus","inornatus","Callosciurus inornatus",NA,NA,NA,NA
"254","Rodentia","Callosciurus","melanogaster","Callosciurus melanogaster",296,4,2,NA
"255","Rodentia","Callosciurus","nigrovittatus","Callosciurus nigrovittatus",208.3,6,1,0.01
"256","Rodentia","Callosciurus","notatus","Callosciurus notatus",209.49,6,1,0.02
"257","Rodentia","Callosciurus","orestes","Callosciurus orestes",323.91,6,1,NA
"258","Rodentia","Callosciurus","phayrei","Callosciurus phayrei",NA,NA,NA,NA
"259","Rodentia","Callosciurus","prevostii","Callosciurus prevostii",400,6,1,NA
"260","Rodentia","Callosciurus","pygerythrus","Callosciurus pygerythrus",NA,NA,1,NA
"261","Rodentia","Callosciurus","quinquestriatus","Callosciurus quinquestriatus",NA,NA,NA,NA
"262","Rodentia","Calomys","boliviae","Calomys boliviae",27,NA,NA,NA
"263","Rodentia","Calomys","callidus","Calomys callidus",27,NA,NA,NA
"264","Rodentia","Calomys","callosus","Calomys callosus",44.95,NA,2,NA
"265","Rodentia","Calomys","expulsus","Calomys expulsus",39.86,NA,NA,NA
"266","Rodentia","Calomys","hummelincki","Calomys hummelincki",27,NA,1,NA
"267","Rodentia","Calomys","laucha","Calomys laucha",14,3,2,NA
"268","Rodentia","Calomys","lepidus","Calomys lepidus",20.59,NA,1,NA
"269","Rodentia","Calomys","musculinus","Calomys musculinus",20.2,3,1,NA
"270","Rodentia","Calomys","sorellus","Calomys sorellus",20,NA,NA,NA
"271","Rodentia","Calomys","tener","Calomys tener",13.8,NA,NA,NA
"272","Rodentia","Calomys","tocantinsi","Calomys tocantinsi",NA,NA,NA,NA
"273","Rodentia","Calomys","venustus","Calomys venustus",49.33,NA,NA,NA
"274","Rodentia","Calomyscus","bailwardi","Calomyscus bailwardi",21.38,NA,NA,NA
"275","Rodentia","Calomyscus","baluchi","Calomyscus baluchi",NA,NA,NA,NA
"276","Rodentia","Calomyscus","elburzensis","Calomyscus elburzensis",NA,NA,NA,NA
"277","Rodentia","Calomyscus","grandis","Calomyscus grandis",NA,NA,NA,NA
"278","Rodentia","Calomyscus","hotsoni","Calomyscus hotsoni",NA,NA,NA,NA
"279","Rodentia","Calomyscus","mystax","Calomyscus mystax",NA,NA,NA,NA
"280","Rodentia","Calomyscus","tsolovi","Calomyscus tsolovi",NA,NA,NA,NA
"281","Rodentia","Calomyscus","urartensis","Calomyscus urartensis",NA,NA,NA,NA
"282","Rodentia","Cannomys","badius","Cannomys badius",472.07,NA,NA,NA
"283","Rodentia","Cansumys","canus","Cansumys canus",NA,NA,NA,NA
"284","Rodentia","Capromys","gundlachianus","Capromys gundlachianus",NA,NA,NA,NA
"285","Rodentia","Capromys","pilorides","Capromys pilorides",5200,3,1,NA
"286","Rodentia","Cardiocranius","paradoxus","Cardiocranius paradoxus",NA,NA,1,NA
"287","Rodentia","Carpomys","melanurus","Carpomys melanurus",NA,NA,NA,NA
"288","Rodentia","Carpomys","phaeurus","Carpomys phaeurus",NA,NA,NA,NA
"289","Rodentia","Carterodon","sulcidens","Carterodon sulcidens",113.8,NA,2,NA
"290","Rodentia","Caryomys","eva","Caryomys eva",NA,NA,NA,NA
"291","Rodentia","Caryomys","inez","Caryomys inez",NA,NA,NA,NA
"292","Rodentia","Castor","canadensis","Castor canadensis",18124.41,3,3,0.06
"293","Rodentia","Castor","fiber","Castor fiber",19000,1,NA,NA
"294","Rodentia","Cavia","aperea","Cavia aperea",524.38,1,2,0.000921587
"295","Rodentia","Cavia","fulgida","Cavia fulgida",282.5,NA,1,NA
"296","Rodentia","Cavia","intermedia","Cavia intermedia",NA,NA,NA,NA
"297","Rodentia","Cavia","magna","Cavia magna",459.99,NA,1,NA
"298","Rodentia","Cavia","porcellus","Cavia porcellus",727.99,NA,1,NA
"299","Rodentia","Cavia","tschudii","Cavia tschudii",1000,NA,2,NA
"300","Rodentia","Chaetocauda","sichuanensis","Chaetocauda sichuanensis",31.51,NA,1,NA
"301","Rodentia","Chaetodipus","arenarius","Chaetodipus arenarius",23,NA,NA,NA
"302","Rodentia","Chaetodipus","artus","Chaetodipus artus",NA,1,NA,NA
"303","Rodentia","Chaetodipus","baileyi","Chaetodipus baileyi",28.44,2,NA,NA
"304","Rodentia","Chaetodipus","californicus","Chaetodipus californicus",23.01,NA,NA,NA
"305","Rodentia","Chaetodipus","dalquesti","Chaetodipus dalquesti",NA,NA,NA,NA
"306","Rodentia","Chaetodipus","eremicus","Chaetodipus eremicus",NA,NA,NA,NA
"307","Rodentia","Chaetodipus","fallax","Chaetodipus fallax",19.19,3,1,0.002300009
"308","Rodentia","Chaetodipus","formosus","Chaetodipus formosus",20.02,NA,NA,NA
"309","Rodentia","Chaetodipus","goldmani","Chaetodipus goldmani",NA,NA,NA,NA
"310","Rodentia","Chaetodipus","hispidus","Chaetodipus hispidus",37.24,1,2,NA
"311","Rodentia","Chaetodipus","intermedius","Chaetodipus intermedius",14.94,NA,NA,NA
"312","Rodentia","Chaetodipus","lineatus","Chaetodipus lineatus",23,1,2,NA
"313","Rodentia","Chaetodipus","nelsoni","Chaetodipus nelsoni",15.53,3,2,0.002835545
"314","Rodentia","Chaetodipus","penicillatus","Chaetodipus penicillatus",15.57,NA,NA,0.005027576
"315","Rodentia","Chaetodipus","pernix","Chaetodipus pernix",17,1,NA,NA
"316","Rodentia","Chaetodipus","rudinoris","Chaetodipus rudinoris",NA,NA,NA,NA
"317","Rodentia","Chaetodipus","spinatus","Chaetodipus spinatus",16.34,NA,NA,NA
"318","Rodentia","Chaetomys","subspinosus","Chaetomys subspinosus",1299.99,3,1,NA
"319","Rodentia","Chelemys","delfini","Chelemys delfini",NA,NA,NA,NA
"320","Rodentia","Chelemys","macronyx","Chelemys macronyx",70.99,4,2,NA
"321","Rodentia","Chelemys","megalonyx","Chelemys megalonyx",50.8,NA,2,NA
"322","Rodentia","Chibchanomys","orcesi","Chibchanomys orcesi",NA,NA,NA,NA
"323","Rodentia","Chibchanomys","trichotis","Chibchanomys trichotis",49.99,NA,NA,NA
"324","Rodentia","Chilomys","instans","Chilomys instans",19,NA,NA,NA
"325","Rodentia","Chinchilla","chinchilla","Chinchilla chinchilla",499.99,6,1,NA
